Column,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-Î²),Mann-Whitney U p,95% CI Lower,95% CI Upper
CLD051_activities,19.12,6.935975,0.047699,19.492401,0.0,2.756642,1.0,,17.197481,21.042519
CLD051_decisions,3.62,2.108196,0.000454,12.141787,0.0,1.717108,1.0,,3.035649,4.204351
CLD051_forks,0.18,0.437526,0.0,2.90907,0.003625,0.411405,0.828717,,0.058726,0.301274
CLD051_swimlanes,0.26,0.985818,0.0,1.864926,0.062192,0.26374,0.462208,,-0.01325,0.53325
CLD051_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD051_options,0.1,0.303046,0.0,2.333333,0.019631,0.329983,0.645572,,0.016002,0.183998
CLD051_edges,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
CLD051_notes,0.36,0.749422,0.0,3.396732,0.000682,0.48037,0.924608,,0.152275,0.567725
CLD051_partitions,0.06,0.424264,0.0,1.0,0.317311,0.141421,0.170075,,-0.057598,0.177598
CLD051_numberline,38.86,12.750366,0.0146,21.550887,0.0,3.047756,1.0,,35.325844,42.394156
CLD051_negative_score,-0.019655,0.093972,0.0,-1.478948,0.139154,-0.209155,0.315545,,-0.045702,0.006393
CLD051_raw_score,75.3252,26.970364,0.024158,19.748699,0.0,2.792888,1.0,,67.849534,82.800866
CLD051_percentage_score,77.334,6.330574,0.12404,86.379838,0.0,12.215954,1.0,,75.579287,79.088713
CLD051_functional_complexity,36.19,13.385909,0.011771,19.117264,0.0,2.703589,1.0,,32.479684,39.900316
CLD051_organization_score,0.52,1.971636,0.0,1.864926,0.062192,0.26374,0.462208,,-0.026499,1.066499
CLD051_structural_integrity,9.9802,0.094469,0.0,747.022256,0.0,105.644901,1.0,,9.954015,10.006385
CLD051_decisions_activities_ratio,0.1888,0.082622,0.114239,16.158121,0.0,2.285103,1.0,,0.165899,0.211701
CLD051_lines_vs_average,0.83324,0.273309,0.014478,21.557631,0.0,3.048709,1.0,,0.757484,0.908996
CLD052_activities,19.84,7.643485,0.02533,18.354192,0.0,2.595675,1.0,,17.721373,21.958627
CLD052_decisions,3.64,2.057936,0.001619,12.507037,0.0,1.768762,1.0,,3.06958,4.21042
CLD052_forks,0.22,0.46467,0.0,3.347826,0.000814,0.473454,0.917411,,0.091202,0.348798
CLD052_swimlanes,0.26,0.943506,0.0,1.948559,0.051348,0.275568,0.495497,,-0.001522,0.521522
CLD052_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD052_options,0.2,0.606092,0.0,2.333333,0.019631,0.329983,0.645572,,0.032003,0.367997
CLD052_edges,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD052_notes,0.38,0.830294,0.0,3.236211,0.001211,0.457669,0.899066,,0.149859,0.610141
CLD052_partitions,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
CLD052_numberline,39.14,14.39389,0.175962,19.227713,0.0,2.719209,1.0,,35.15029,43.12971
CLD052_negative_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD052_raw_score,77.751,30.507414,0.022794,18.021278,0.0,2.548594,1.0,,69.294932,86.207068
CLD052_percentage_score,77.586,6.791922,0.149546,80.774756,0.0,11.423276,1.0,,75.70341,79.46859
CLD052_functional_complexity,37.37,15.19862,0.026705,17.38617,0.0,2.458776,1.0,,33.157235,41.582765
CLD052_organization_score,0.52,1.887013,0.0,1.948559,0.051348,0.275568,0.495497,,-0.003044,1.043044
CLD052_structural_integrity,10.0,0.0,1.0,0.0,1.0,0.0,0.0,,10.0,10.0
CLD052_decisions_activities_ratio,0.17636,0.058431,0.146378,21.342288,0.0,3.018255,1.0,,0.160164,0.192556
CLD052_lines_vs_average,0.8392,0.308675,0.175675,19.22423,0.0,2.718717,1.0,,0.753641,0.924759
CLD053_activities,19.56,6.767751,0.241071,20.43664,0.0,2.890177,1.0,,17.68411,21.43589
CLD053_decisions,3.78,1.919715,0.004908,13.923231,0.0,1.969042,1.0,,3.247892,4.312108
CLD053_forks,0.18,0.437526,0.0,2.90907,0.003625,0.411405,0.828717,,0.058726,0.301274
CLD053_swimlanes,0.12,0.718275,0.0,1.181342,0.237467,0.167067,0.218942,,-0.079092,0.319092
CLD053_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD053_options,0.22,0.615779,0.0,2.526288,0.011527,0.357271,0.714417,,0.049318,0.390682
CLD053_edges,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD053_notes,0.22,0.581694,0.0,2.674321,0.007488,0.378206,0.762498,,0.058766,0.381234
CLD053_partitions,0.06,0.424264,0.0,1.0,0.317311,0.141421,0.170075,,-0.057598,0.177598
CLD053_numberline,38.88,12.476329,0.221095,22.035578,0.0,3.116301,1.0,,35.421802,42.338198
CLD053_negative_score,-0.010167,0.056677,0.0,-1.268403,0.204654,-0.179379,0.245229,,-0.025876,0.005543
CLD053_raw_score,76.9998,26.659989,0.249147,20.422769,0.0,2.888216,1.0,,69.610164,84.389436
CLD053_percentage_score,77.774,6.292393,0.044472,87.398425,0.0,12.360004,1.0,,76.02987,79.51813
CLD053_functional_complexity,37.17,13.217031,0.216404,19.885827,0.0,2.812281,1.0,,33.506493,40.833507
CLD053_organization_score,0.24,1.436549,0.0,1.181342,0.237467,0.167067,0.218942,,-0.158184,0.638184
CLD053_structural_integrity,9.99,0.056025,0.0,1260.870148,0.0,178.313966,1.0,,9.974471,10.005529
CLD053_decisions_activities_ratio,0.19062,0.066089,0.361883,20.394944,0.0,2.884281,1.0,,0.172301,0.208939
CLD053_lines_vs_average,0.83372,0.267464,0.221386,22.041444,0.0,3.117131,1.0,,0.759584,0.907856
CLD091_activities,14.08,4.280187,0.221906,23.260815,0.0,3.289576,1.0,,12.893615,15.266385
CLD091_decisions,2.46,1.373362,0.000394,12.665874,0.0,1.791225,1.0,,2.079331,2.840669
CLD091_forks,0.64,0.749422,0.0,6.038635,0.0,0.853992,0.999977,,0.432275,0.847725
CLD091_swimlanes,0.42,1.591944,0.0,1.865548,0.062105,0.263828,0.462455,,-0.021256,0.861256
CLD091_detaches,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
CLD091_options,0.2,0.571429,0.0,2.474874,0.013328,0.35,0.696697,,0.041611,0.358389
CLD091_edges,0.14,0.495284,0.0,1.998752,0.045635,0.282666,0.515508,,0.002717,0.277283
CLD091_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD091_partitions,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
CLD091_numberline,28.54,8.668992,0.556606,23.279323,0.0,3.292193,1.0,,26.137122,30.942878
CLD091_negative_score,-0.001,0.007071,0.0,-1.0,0.317311,-0.141421,0.170075,,-0.00296,0.00096
CLD091_raw_score,56.634,18.133579,0.229378,22.08405,0.0,3.123156,1.0,,51.607721,61.660279
CLD091_percentage_score,72.358,6.725191,0.028603,76.079369,0.0,10.759248,1.0,,70.493906,74.222094
CLD091_functional_complexity,27.0,8.435227,0.276954,22.633513,0.0,3.200862,1.0,,24.661917,29.338083
CLD091_organization_score,0.84,3.183888,0.0,1.865548,0.062105,0.263828,0.462455,,-0.042513,1.722513
CLD091_structural_integrity,9.999,0.007071,0.0,9999.0,0.0,1414.072141,1.0,,9.99704,10.00096
CLD091_decisions_activities_ratio,0.17494,0.084611,0.84886,14.61994,0.0,2.067572,1.0,,0.151487,0.198393
CLD091_lines_vs_average,0.61194,0.185808,0.554751,23.287833,0.0,3.293397,1.0,,0.560438,0.663442
CLD092_activities,13.82,4.466154,0.841901,21.880607,0.0,3.094385,1.0,,12.582068,15.057932
CLD092_decisions,2.36,1.453497,0.002264,11.481085,0.0,1.623671,1.0,,1.957119,2.762881
CLD092_forks,0.56,0.7329,0.0,5.402915,0.0,0.764088,0.999712,,0.356854,0.763146
CLD092_swimlanes,0.18,1.00387,0.0,1.267885,0.204839,0.179306,0.245068,,-0.098253,0.458253
CLD092_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD092_options,0.28,0.729551,0.0,2.713859,0.00665,0.383798,0.774545,,0.077782,0.482218
CLD092_edges,0.18,0.719694,0.0,1.768519,0.076974,0.250106,0.424185,,-0.019485,0.379485
CLD092_notes,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
CLD092_partitions,0.14,0.534904,0.0,1.850704,0.064212,0.261729,0.456568,,-0.008265,0.288265
CLD092_numberline,28.52,7.895336,0.495721,25.54253,0.0,3.612259,1.0,,26.331565,30.708435
CLD092_negative_score,-0.108,0.477703,0.0,-1.598641,0.1099,-0.226082,0.359115,,-0.24041,0.02441
CLD092_raw_score,54.98,18.234138,0.906681,21.32085,0.0,3.015223,1.0,,49.925848,60.034152
CLD092_percentage_score,71.408,8.243212,0.000216,61.254132,0.0,8.662642,1.0,,69.12314,73.69286
CLD092_functional_complexity,26.29,8.678551,0.920053,21.420439,0.0,3.029308,1.0,,23.884473,28.695527
CLD092_organization_score,0.36,2.00774,0.0,1.267885,0.204839,0.179306,0.245068,,-0.196507,0.916507
CLD092_structural_integrity,9.892,0.477703,0.0,146.423671,0.0,20.707434,1.0,,9.75959,10.02441
CLD092_decisions_activities_ratio,0.17348,0.092734,0.133526,13.228064,0.0,1.870731,1.0,,0.147776,0.199184
CLD092_lines_vs_average,0.61154,0.169248,0.491357,25.549794,0.0,3.613287,1.0,,0.564628,0.658452
CLD093_activities,14.26,4.480388,0.096683,22.505512,0.0,3.18276,1.0,,13.018123,15.501877
CLD093_decisions,2.6,1.498298,0.020166,12.270437,0.0,1.735302,1.0,,2.184701,3.015299
CLD093_forks,0.44,0.704504,0.0,4.416253,1e-05,0.624552,0.992981,,0.244725,0.635275
CLD093_swimlanes,0.34,1.080627,0.0,2.224785,0.026096,0.314632,0.604441,,0.040471,0.639529
CLD093_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD093_options,0.16,0.421852,0.0,2.681914,0.00732,0.37928,0.764839,,0.043071,0.276929
CLD093_edges,0.12,0.479796,0.0,1.768519,0.076974,0.250106,0.424185,,-0.01299,0.25299
CLD093_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD093_partitions,0.12,0.520596,0.0,1.629916,0.103119,0.230505,0.370847,,-0.024299,0.264299
CLD093_numberline,29.0,9.275819,0.071324,22.107047,0.0,3.126409,1.0,,26.428921,31.571079
CLD093_negative_score,-0.120429,0.593765,0.0,-1.434167,0.151525,-0.202822,0.299859,,-0.285009,0.044152
CLD093_raw_score,56.9936,18.637665,0.1622,21.623181,0.0,3.05798,1.0,,51.827598,62.159602
CLD093_percentage_score,72.352,6.845593,0.070297,74.735078,0.0,10.569136,1.0,,70.454533,74.249467
CLD093_functional_complexity,27.25,8.833638,0.226342,21.812824,0.0,3.084799,1.0,,24.801485,29.698515
CLD093_organization_score,0.68,2.161254,0.0,2.224785,0.026096,0.314632,0.604441,,0.080942,1.279058
CLD093_structural_integrity,9.8796,0.59377,0.0,117.653793,0.0,16.638759,1.0,,9.715018,10.044182
CLD093_decisions_activities_ratio,0.18614,0.097486,0.566853,13.50152,0.0,1.909403,1.0,,0.159119,0.213161
CLD093_lines_vs_average,0.62186,0.198867,0.070738,22.111321,0.0,3.127013,1.0,,0.566738,0.676982
DPS001_activities,10.76,4.644769,0.031683,16.380727,0.0,2.316585,1.0,,9.472559,12.047441
DPS001_decisions,1.86,1.324957,1e-06,9.926503,0.0,1.403819,1.0,,1.492747,2.227253
DPS001_forks,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
DPS001_swimlanes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS001_detaches,0.04,0.282843,0.0,1.0,0.317311,0.141421,0.170075,,-0.038399,0.118399
DPS001_options,0.1,0.303046,0.0,2.333333,0.019631,0.329983,0.645572,,0.016002,0.183998
DPS001_edges,0.34,0.519419,0.0,4.628564,4e-06,0.654578,0.996192,,0.196027,0.483973
DPS001_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS001_partitions,0.28,0.757008,0.0,2.615427,0.008912,0.369877,0.743917,,0.070172,0.489828
DPS001_numberline,21.28,9.409158,0.009148,15.992114,0.0,2.261627,1.0,,18.671963,23.888037
DPS001_negative_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS001_raw_score,41.712,18.90731,0.019839,15.599701,0.0,2.206131,1.0,,36.471257,46.952743
DPS001_percentage_score,64.618,10.192908,0.310506,44.827074,0.0,6.339506,1.0,,61.792722,67.443278
DPS001_functional_complexity,19.89,9.015457,0.014549,15.600267,0.0,2.206211,1.0,,17.391089,22.388911
DPS001_organization_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS001_structural_integrity,10.0,0.0,1.0,0.0,1.0,0.0,0.0,,10.0,10.0
DPS001_decisions_activities_ratio,0.17298,0.081563,0.367076,14.996393,0.0,2.12081,1.0,,0.150372,0.195588
DPS001_lines_vs_average,0.45628,0.20173,0.009141,15.993624,0.0,2.26184,1.0,,0.400364,0.512196
DPS002_activities,10.4,4.393873,0.187593,16.736738,0.0,2.366932,1.0,,9.182103,11.617897
DPS002_decisions,1.84,1.234868,0.000564,10.536162,0.0,1.490038,1.0,,1.497718,2.182282
DPS002_forks,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS002_swimlanes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS002_detaches,0.04,0.282843,0.0,1.0,0.317311,0.141421,0.170075,,-0.038399,0.118399
DPS002_options,0.08,0.340468,0.0,1.661494,0.096614,0.234971,0.382819,,-0.014371,0.174371
DPS002_edges,0.42,0.641745,0.0,4.62777,4e-06,0.654465,0.996183,,0.242121,0.597879
DPS002_notes,0.04,0.282843,0.0,1.0,0.317311,0.141421,0.170075,,-0.038399,0.118399
DPS002_partitions,0.16,0.650275,0.0,1.739835,0.081888,0.24605,0.412993,,-0.020244,0.340244
DPS002_numberline,20.74,8.877419,0.025927,16.519885,0.0,2.336265,1.0,,18.27935,23.20065
DPS002_negative_score,-0.00225,0.01591,0.0,-1.0,0.317311,-0.141421,0.170075,,-0.00666,0.00216
DPS002_raw_score,40.3908,17.703991,0.189701,16.1323,0.0,2.281452,1.0,,35.483594,45.298006
DPS002_percentage_score,63.864,10.776936,0.023099,41.903067,0.0,5.925989,1.0,,60.876841,66.851159
DPS002_functional_complexity,19.28,8.519581,0.200258,16.001982,0.0,2.263022,1.0,,16.918536,21.641464
DPS002_organization_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS002_structural_integrity,9.9978,0.015556,0.0,4544.454545,0.0,642.682925,1.0,,9.993488,10.002112
DPS002_decisions_activities_ratio,0.17304,0.094499,0.292786,12.948034,0.0,1.831129,1.0,,0.146847,0.199233
DPS002_lines_vs_average,0.44462,0.190295,0.025828,16.521379,0.0,2.336476,1.0,,0.391874,0.497366
DPS003_activities,10.04,3.790213,0.062821,18.730747,0.0,2.648928,1.0,,8.989426,11.090574
DPS003_decisions,1.82,1.082137,3.7e-05,11.892527,0.0,1.681857,1.0,,1.520052,2.119948
DPS003_forks,0.04,0.197949,0.0,1.428869,0.153042,0.202073,0.298027,,-0.014868,0.094868
DPS003_swimlanes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS003_detaches,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
DPS003_options,0.16,0.548095,0.0,2.064187,0.039,0.29192,0.541533,,0.008079,0.311921
DPS003_edges,0.3,0.543984,0.0,3.899602,9.6e-05,0.551487,0.973788,,0.149218,0.450782
DPS003_notes,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
DPS003_partitions,0.14,0.534904,0.0,1.850704,0.064212,0.261729,0.456568,,-0.008265,0.288265
DPS003_numberline,20.28,8.21159,0.009391,17.463276,0.0,2.46968,1.0,,18.003905,22.556095
DPS003_negative_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS003_raw_score,39.25,15.68923,0.069049,17.689804,0.0,2.501716,1.0,,34.901247,43.598753
DPS003_percentage_score,63.896,9.402582,0.154404,48.052007,0.0,6.79558,1.0,,61.289785,66.502215
DPS003_functional_complexity,18.76,7.446572,0.075093,17.814001,0.0,2.51928,1.0,,16.695954,20.824046
DPS003_organization_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS003_structural_integrity,10.0,0.0,1.0,0.0,1.0,0.0,0.0,,10.0,10.0
DPS003_decisions_activities_ratio,0.1784,0.073403,0.392942,17.185654,0.0,2.430418,1.0,,0.158054,0.198746
DPS003_lines_vs_average,0.4348,0.176062,0.009419,17.462552,0.0,2.469578,1.0,,0.385999,0.483601
DPS051_activities,10.24,4.438054,0.002751,16.315198,0.0,2.307317,1.0,,9.009857,11.470143
DPS051_decisions,1.78,1.148024,1.7e-05,10.963621,0.0,1.55049,1.0,,1.46179,2.09821
DPS051_forks,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS051_swimlanes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS051_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS051_options,0.1,0.416497,0.0,1.697749,0.089555,0.240098,0.396705,,-0.015445,0.215445
DPS051_edges,0.36,0.597956,0.0,4.257145,2.1e-05,0.602051,0.989196,,0.194258,0.525742
DPS051_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS051_partitions,0.16,0.548095,0.0,2.064187,0.039,0.29192,0.541533,,0.008079,0.311921
DPS051_numberline,20.24,8.775104,0.001224,16.309597,0.0,2.306525,1.0,,17.80771,22.67229
DPS051_negative_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS051_raw_score,39.624,17.815799,0.003776,15.726715,0.0,2.224093,1.0,,34.685803,44.562197
DPS051_percentage_score,63.61,10.156073,0.091242,44.287849,0.0,6.263248,1.0,,60.794932,66.425068
DPS051_functional_complexity,18.92,8.561518,0.003663,15.626271,0.0,2.209888,1.0,,16.546912,21.293088
DPS051_organization_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS051_structural_integrity,10.0,0.0,1.0,0.0,1.0,0.0,0.0,,10.0,10.0
DPS051_decisions_activities_ratio,0.16844,0.071856,0.230189,16.575411,0.0,2.344117,1.0,,0.148523,0.188357
DPS051_lines_vs_average,0.43392,0.188093,0.001243,16.312595,0.0,2.306949,1.0,,0.381784,0.486056
DPS052_activities,10.24,4.433454,0.011496,16.332129,0.0,2.309712,1.0,,9.011132,11.468868
DPS052_decisions,1.82,1.189924,0.000428,10.815268,0.0,1.52951,1.0,,1.490176,2.149824
DPS052_forks,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
DPS052_swimlanes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS052_detaches,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
DPS052_options,0.14,0.404566,0.0,2.446943,0.014407,0.34605,0.686869,,0.027862,0.252138
DPS052_edges,0.34,0.592814,0.0,4.055509,5e-05,0.573536,0.981939,,0.175683,0.504317
DPS052_notes,0.04,0.282843,0.0,1.0,0.317311,0.141421,0.170075,,-0.038399,0.118399
DPS052_partitions,0.2,0.728431,0.0,1.941451,0.052204,0.274563,0.492663,,-0.001907,0.401907
DPS052_numberline,20.42,9.372321,0.000917,15.40613,0.0,2.178756,1.0,,17.822173,23.017827
DPS052_negative_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS052_raw_score,39.931,18.400895,0.008942,15.344623,0.0,2.170057,1.0,,34.830626,45.031374
DPS052_percentage_score,63.618,10.385089,0.302223,43.316642,0.0,6.125898,1.0,,60.739453,66.496547
DPS052_functional_complexity,19.03,8.77055,0.013294,15.342529,0.0,2.169761,1.0,,16.598972,21.461028
DPS052_organization_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS052_structural_integrity,10.0,0.0,1.0,0.0,1.0,0.0,0.0,,10.0,10.0
DPS052_decisions_activities_ratio,0.17122,0.080123,0.024311,15.110536,0.0,2.136952,1.0,,0.149011,0.193429
DPS052_lines_vs_average,0.43788,0.200936,0.000926,15.409278,0.0,2.179201,1.0,,0.382184,0.493576
DPS053_activities,10.32,4.042832,0.161862,18.050075,0.0,2.552666,1.0,,9.199405,11.440595
DPS053_decisions,1.8,1.069045,7.1e-05,11.905881,0.0,1.683746,1.0,,1.503681,2.096319
DPS053_forks,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS053_swimlanes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS053_detaches,0.04,0.197949,0.0,1.428869,0.153042,0.202073,0.298027,,-0.014868,0.094868
DPS053_options,0.06,0.313636,0.0,1.352729,0.176142,0.191305,0.272309,,-0.026934,0.146934
DPS053_edges,0.32,0.512696,0.0,4.413418,1e-05,0.624152,0.992925,,0.177891,0.462109
DPS053_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS053_partitions,0.16,0.548095,0.0,2.064187,0.039,0.29192,0.541533,,0.008079,0.311921
DPS053_numberline,20.28,8.101499,0.071275,17.700583,0.0,2.50324,1.0,,18.03442,22.52558
DPS053_negative_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS053_raw_score,39.798,16.277611,0.109192,17.288432,0.0,2.444953,1.0,,35.286159,44.309841
DPS053_percentage_score,63.902,10.171057,0.012182,44.425606,0.0,6.282729,1.0,,61.082779,66.721221
DPS053_functional_complexity,19.08,7.885895,0.142148,17.108517,0.0,2.41951,1.0,,16.894181,21.265819
DPS053_organization_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS053_structural_integrity,10.0,0.0,1.0,0.0,1.0,0.0,0.0,,10.0,10.0
DPS053_decisions_activities_ratio,0.16874,0.071572,0.195313,16.670912,0.0,2.357623,1.0,,0.148902,0.188578
DPS053_lines_vs_average,0.43486,0.173586,0.071332,17.714121,0.0,2.505155,1.0,,0.386745,0.482975
DPS091_activities,10.14,3.969321,0.299645,18.0637,0.0,2.554593,1.0,,9.039781,11.240219
DPS091_decisions,1.78,1.093394,0.000161,11.511406,0.0,1.627959,1.0,,1.476932,2.083068
DPS091_forks,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS091_swimlanes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS091_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
DPS091_options,0.14,0.452205,0.0,2.189159,0.028585,0.309594,0.590658,,0.014657,0.265343
DPS091_edges,0.34,0.592814,0.0,4.055509,5e-05,0.573536,0.981939,,0.175683,0.504317
