Metric,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-Î²),Mann-Whitney U p,95% CI Lower,95% CI Upper
prompt_CLM001_similarity,0.526,0.0736,0.4637,2.4696,0.0171,0.3528,N/A,0.01,0.5056,0.5464
prompt_CLM001_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM001_match_rate,42.0769,5.8865,0.4641,49.4419,0.0,7.0631,N/A,0.0,40.4453,43.7085
prompt_CLM001_bleu,0.0145,0.0198,0.0,-171.4791,0.0,-24.497,N/A,0.0,0.009,0.02
prompt_CLM001_rougeL,0.1243,0.0358,0.0,-73.3853,0.0,-10.4836,N/A,0.0,0.1143,0.1342
prompt_CLM051_similarity,0.5258,0.0589,0.146,3.0647,0.0035,0.4378,N/A,0.066,0.5095,0.5421
prompt_CLM051_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM051_match_rate,42.062,4.7101,0.1465,61.768,0.0,8.824,N/A,0.0,40.7565,43.3676
prompt_CLM051_bleu,0.0148,0.022,0.0,-154.3707,0.0,-22.053,N/A,0.0,0.0087,0.0208
prompt_CLM051_rougeL,0.1201,0.0399,0.0,-66.6344,0.0,-9.5192,N/A,0.0,0.109,0.1312
prompt_CLM091_similarity,0.5321,0.077,0.8999,2.9135,0.0054,0.4162,N/A,0.0002,0.5107,0.5534
prompt_CLM091_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM091_match_rate,42.5649,6.1639,0.8994,47.7709,0.0,6.8244,N/A,0.0,40.8563,44.2734
prompt_CLM091_bleu,0.012,0.0157,0.0,-217.401,0.0,-31.0573,N/A,0.0,0.0076,0.0163
prompt_CLM091_rougeL,0.1159,0.03,0.0002,-89.7162,0.0,-12.8166,N/A,0.0,0.1076,0.1242
prompt_CLM002_similarity,0.5203,0.0718,0.3354,1.9756,0.0538,0.2822,N/A,0.0273,0.5004,0.5402
prompt_CLM002_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM002_match_rate,41.621,5.7439,0.3352,50.1137,0.0,7.1591,N/A,0.0,40.0289,43.2131
prompt_CLM002_bleu,0.0137,0.0198,0.0,-172.1882,0.0,-24.5983,N/A,0.0,0.0082,0.0192
prompt_CLM002_rougeL,0.1209,0.037,0.0,-71.7634,0.0,-10.2519,N/A,0.0,0.1106,0.1311
prompt_CLM052_similarity,0.5258,0.069,0.1273,2.619,0.0117,0.3741,N/A,0.2706,0.5067,0.545
prompt_CLM052_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM052_match_rate,42.0662,5.5234,0.1271,52.6782,0.0,7.5255,N/A,0.0,40.5352,43.5972
prompt_CLM052_bleu,0.0161,0.0229,0.0,-148.0379,0.0,-21.1483,N/A,0.0,0.0098,0.0225
prompt_CLM052_rougeL,0.1248,0.0373,0.0001,-70.4082,0.0,-10.0583,N/A,0.0,0.1145,0.1351
prompt_CLM092_similarity,0.5276,0.0705,0.4307,2.745,0.0084,0.3921,N/A,0.0273,0.5081,0.5472
prompt_CLM092_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM092_match_rate,42.2113,5.6387,0.4316,51.7809,0.0,7.3973,N/A,0.0,40.6483,43.7742
prompt_CLM092_bleu,0.0115,0.0094,0.0,-364.7096,0.0,-52.1014,N/A,0.0,0.0089,0.0141
prompt_CLM092_rougeL,0.1209,0.0299,0.0073,-88.6757,0.0,-12.668,N/A,0.0,0.1126,0.1292
prompt_CLM003_similarity,0.5222,0.0715,0.3768,2.1729,0.0346,0.3104,N/A,0.01,0.5024,0.542
prompt_CLM003_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM003_match_rate,41.7751,5.7182,0.3765,50.5271,0.0,7.2182,N/A,0.0,40.1901,43.3601
prompt_CLM003_bleu,0.0129,0.0173,0.0,-196.9589,0.0,-28.137,N/A,0.0,0.0081,0.0177
prompt_CLM003_rougeL,0.1212,0.0344,0.0002,-77.0667,0.0,-11.0095,N/A,0.0,0.1116,0.1307
prompt_CLM053_similarity,0.5273,0.0704,0.7637,2.719,0.009,0.3884,N/A,0.0273,0.5078,0.5468
prompt_CLM053_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM053_match_rate,42.1876,5.6304,0.7636,51.8282,0.0,7.404,N/A,0.0,40.6269,43.7482
prompt_CLM053_bleu,0.0141,0.0201,0.0,-168.8629,0.0,-24.1233,N/A,0.0,0.0085,0.0197
prompt_CLM053_rougeL,0.1213,0.0392,0.0001,-67.6926,0.0,-9.6704,N/A,0.0,0.1104,0.1321
prompt_CLM093_similarity,0.5335,0.0722,0.835,3.2441,0.0021,0.4634,N/A,0.01,0.5135,0.5535
prompt_CLM093_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM093_match_rate,42.6784,5.7777,0.8344,51.1012,0.0,7.3002,N/A,0.0,41.0769,44.2798
prompt_CLM093_bleu,0.0111,0.0185,0.0,-184.5617,0.0,-26.366,N/A,0.0,0.006,0.0163
prompt_CLM093_rougeL,0.1164,0.0308,0.0,-87.0562,0.0,-12.4366,N/A,0.0,0.1079,0.125
prompt_DPM001_similarity,0.5203,0.0744,0.3628,1.9136,0.0615,0.2734,N/A,0.0273,0.4997,0.541
prompt_DPM001_quality,72.2,9.6519,0.0,51.9999,0.0,7.4286,N/A,0.0,69.5247,74.8753
prompt_DPM001_match_rate,37.4643,6.9504,0.8181,37.2283,0.0,5.3183,N/A,0.0,35.5378,39.3908
prompt_DPM001_bleu,0.0149,0.02,0.0,-169.6027,0.0,-24.229,N/A,0.0,0.0094,0.0205
prompt_DPM001_rougeL,0.1275,0.0356,0.1565,-73.2998,0.0,-10.4714,N/A,0.0,0.1177,0.1374
prompt_DPM051_similarity,0.5283,0.0812,0.6942,2.4415,0.0183,0.3488,N/A,0.01,0.5058,0.5509
prompt_DPM051_quality,72.2,9.2282,0.0,54.3875,0.0,7.7696,N/A,0.0,69.6421,74.7579
prompt_DPM051_match_rate,38.163,7.9191,0.3534,33.2919,0.0,4.756,N/A,0.0,35.968,40.358
prompt_DPM051_bleu,0.0161,0.0202,0.0,-167.3921,0.0,-23.9132,N/A,0.0,0.0105,0.0217
prompt_DPM051_rougeL,0.1265,0.0345,0.0181,-75.7411,0.0,-10.8202,N/A,0.0,0.1169,0.136
prompt_DPM091_similarity,0.525,0.0804,0.373,2.1758,0.0344,0.3108,N/A,0.0032,0.5027,0.5473
prompt_DPM091_quality,72.2,9.4425,0.0,53.1535,0.0,7.5934,N/A,0.0,69.5827,74.8173
prompt_DPM091_match_rate,37.8489,7.6018,0.5739,34.3921,0.0,4.9132,N/A,0.0,35.7418,39.956
prompt_DPM091_bleu,0.0189,0.0261,0.0,-129.0951,0.0,-18.4422,N/A,0.0,0.0116,0.0261
prompt_DPM091_rougeL,0.1271,0.0434,0.0002,-60.1312,0.0,-8.5902,N/A,0.0,0.115,0.1391
prompt_DPM002_similarity,0.529,0.0868,0.6653,2.3403,0.0234,0.3343,N/A,0.0032,0.505,0.5531
prompt_DPM002_quality,72.2,9.4425,0.0,53.1535,0.0,7.5934,N/A,0.0,69.5827,74.8173
prompt_DPM002_match_rate,37.8984,6.5668,0.7651,39.8654,0.0,5.6951,N/A,0.0,36.0782,39.7186
prompt_DPM002_bleu,0.0171,0.0193,0.0,-174.7095,0.0,-24.9585,N/A,0.0,0.0118,0.0225
prompt_DPM002_rougeL,0.1291,0.0417,0.0002,-62.2239,0.0,-8.8891,N/A,0.0,0.1175,0.1407
prompt_DPM052_similarity,0.5297,0.0803,0.0744,2.5866,0.0127,0.3695,N/A,0.0002,0.5074,0.5519
prompt_DPM052_quality,71.0,9.434,0.0,52.3109,0.0,7.473,N/A,0.0,68.3851,73.6149
prompt_DPM052_match_rate,37.6159,7.7738,0.6024,33.4214,0.0,4.7745,N/A,0.0,35.4612,39.7707
prompt_DPM052_bleu,0.0206,0.0256,0.0,-130.9237,0.0,-18.7034,N/A,0.0,0.0135,0.0277
prompt_DPM052_rougeL,0.1372,0.0421,0.0097,-60.366,0.0,-8.6237,N/A,0.0,0.1255,0.1489
prompt_DPM092_similarity,0.5335,0.0937,0.8813,2.4982,0.0159,0.3569,N/A,0.0273,0.5075,0.5594
prompt_DPM092_quality,72.4,9.2865,0.0,54.1967,0.0,7.7424,N/A,0.0,69.8259,74.9741
prompt_DPM092_match_rate,38.44,7.8529,0.1311,33.8194,0.0,4.8313,N/A,0.0,36.2633,40.6167
prompt_DPM092_bleu,0.0305,0.0395,0.0,-83.2702,0.0,-11.8957,N/A,0.0,0.0196,0.0414
prompt_DPM092_rougeL,0.1445,0.0532,0.0001,-46.7683,0.0,-6.6812,N/A,0.0,0.1297,0.1592
prompt_DPM003_similarity,0.5211,0.0676,0.3119,2.1833,0.0338,0.3119,N/A,0.066,0.5023,0.5398
prompt_DPM003_quality,74.4,8.5229,0.0,60.6952,0.0,8.6707,N/A,0.0,72.0376,76.7624
prompt_DPM003_match_rate,38.6808,6.3636,0.102,41.9993,0.0,5.9999,N/A,0.0,36.9169,40.4446
prompt_DPM003_bleu,0.0193,0.0243,0.0,-138.3569,0.0,-19.7653,N/A,0.0,0.0125,0.026
prompt_DPM003_rougeL,0.1283,0.0384,0.0757,-67.7671,0.0,-9.681,N/A,0.0,0.1177,0.139
prompt_DPM053_similarity,0.5269,0.0735,0.1338,2.5579,0.0137,0.3654,N/A,0.0002,0.5065,0.5473
prompt_DPM053_quality,74.8,8.5417,0.0,60.8898,0.0,8.6985,N/A,0.0,72.4324,77.1676
prompt_DPM053_match_rate,39.3322,6.897,0.4112,39.412,0.0,5.6303,N/A,0.0,37.4205,41.244
prompt_DPM053_bleu,0.0202,0.0342,0.0,-98.1498,0.0,-14.0214,N/A,0.0,0.0107,0.0297
prompt_DPM053_rougeL,0.1257,0.0429,0.0003,-61.0981,0.0,-8.7283,N/A,0.0,0.1139,0.1376
prompt_DPM093_similarity,0.526,0.0767,0.0629,2.3762,0.0214,0.3395,N/A,0.0163,0.5048,0.5473
prompt_DPM093_quality,72.6,9.3402,0.0,54.035,0.0,7.7193,N/A,0.0,70.0111,75.1889
prompt_DPM093_match_rate,38.1194,7.3169,0.2592,35.9899,0.0,5.1414,N/A,0.0,36.0913,40.1475
prompt_DPM093_bleu,0.0199,0.0283,0.0,-118.784,0.0,-16.9691,N/A,0.0,0.0121,0.0277
prompt_DPM093_rougeL,0.1279,0.0429,0.0014,-60.6991,0.0,-8.6713,N/A,0.0,0.116,0.1398
prompt_GPM001_similarity,0.5289,0.0928,0.8657,2.1776,0.0343,0.3111,N/A,0.1415,0.5031,0.5546
prompt_GPM001_quality,79.4,2.3749,0.0,232.5603,0.0,33.2229,N/A,0.0,78.7417,80.0583
prompt_GPM001_match_rate,41.9788,7.4474,0.8456,38.987,0.0,5.5696,N/A,0.0,39.9146,44.0431
prompt_GPM001_bleu,0.0161,0.0167,0.0,-202.7409,0.0,-28.963,N/A,0.0,0.0115,0.0208
prompt_GPM001_rougeL,0.132,0.0309,0.1158,-83.4668,0.0,-11.9238,N/A,0.0,0.1235,0.1406
prompt_GPM051_similarity,0.5402,0.1013,0.8877,2.7764,0.0078,0.3966,N/A,0.01,0.5121,0.5682
prompt_GPM051_quality,79.4,3.1048,0.0,177.8839,0.0,25.412,N/A,0.0,78.5394,80.2606
prompt_GPM051_match_rate,42.9427,8.4535,0.8855,35.1453,0.0,5.0208,N/A,0.0,40.5996,45.2859
prompt_GPM051_bleu,0.0231,0.0338,0.0,-98.8712,0.0,-14.1245,N/A,0.0,0.0137,0.0324
prompt_GPM051_rougeL,0.1419,0.0517,0.0,-48.513,0.0,-6.9304,N/A,0.0,0.1276,0.1562
prompt_GPM091_similarity,0.531,0.1038,0.0461,2.092,0.0416,0.2989,N/A,0.7153,0.5022,0.5598
prompt_GPM091_quality,78.6,4.9031,0.0,111.5018,0.0,15.9288,N/A,0.0,77.241,79.959
prompt_GPM091_match_rate,41.781,8.7464,0.1293,33.0386,0.0,4.7198,N/A,0.0,39.3567,44.2054
prompt_GPM091_bleu,0.0157,0.0187,0.0,-181.1758,0.0,-25.8823,N/A,0.0,0.0105,0.0209
prompt_GPM091_rougeL,0.1358,0.039,0.0014,-65.4208,0.0,-9.3458,N/A,0.0,0.125,0.1466
prompt_GPM002_similarity,0.523,0.0945,0.3101,1.7058,0.0944,0.2437,N/A,0.4634,0.4968,0.5492
prompt_GPM002_quality,79.8,1.4,0.0,396.5,0.0,56.6429,N/A,0.0,79.4119,80.1881
prompt_GPM002_match_rate,41.7383,7.5983,0.2197,37.9911,0.0,5.4273,N/A,0.0,39.6322,43.8444
prompt_GPM002_bleu,0.0177,0.0235,0.0,-143.6949,0.0,-20.5278,N/A,0.0,0.0112,0.0242
prompt_GPM002_rougeL,0.1377,0.0413,0.0913,-61.3715,0.0,-8.7674,N/A,0.0,0.1263,0.1492
prompt_GPM052_similarity,0.5285,0.0946,0.4491,2.106,0.0403,0.3009,N/A,0.1415,0.5022,0.5547
prompt_GPM052_quality,79.2,3.3705,0.0,163.4495,0.0,23.3499,N/A,0.0,78.2658,80.1342
prompt_GPM052_match_rate,41.809,7.505,0.5166,38.5295,0.0,5.5042,N/A,0.0,39.7288,43.8892
prompt_GPM052_bleu,0.0172,0.0248,0.0,-136.4093,0.0,-19.487,N/A,0.0,0.0104,0.0241
prompt_GPM052_rougeL,0.1347,0.0429,0.0002,-59.5944,0.0,-8.5135,N/A,0.0,0.1228,0.1466
prompt_GPM092_similarity,0.5428,0.1152,0.425,2.6007,0.0123,0.3715,N/A,0.01,0.5109,0.5748
prompt_GPM092_quality,78.4,4.1761,0.0,130.5757,0.0,18.6537,N/A,0.0,77.2425,79.5575
prompt_GPM092_match_rate,42.5292,9.2755,0.4511,31.7184,0.0,4.5312,N/A,0.0,39.9582,45.1002
prompt_GPM092_bleu,0.0257,0.0389,0.0,-85.3101,0.0,-12.1872,N/A,0.0,0.0149,0.0365
prompt_GPM092_rougeL,0.1386,0.0542,0.0,-46.6818,0.0,-6.6688,N/A,0.0,0.1236,0.1536
prompt_GPM003_similarity,0.5261,0.1007,0.9342,1.8158,0.0755,0.2594,N/A,0.2706,0.4982,0.554
prompt_GPM003_quality,79.4,2.3749,0.0,232.5603,0.0,33.2229,N/A,0.0,78.7417,80.0583
prompt_GPM003_match_rate,41.816,8.3124,0.8287,34.793,0.0,4.9704,N/A,0.0,39.512,44.1201
prompt_GPM003_bleu,0.0195,0.0297,0.0,-113.1889,0.0,-16.1698,N/A,0.0,0.0113,0.0277
prompt_GPM003_rougeL,0.1351,0.0449,0.0002,-56.8601,0.0,-8.1229,N/A,0.0,0.1226,0.1475
prompt_GPM053_similarity,0.542,0.0994,0.0561,2.9585,0.0047,0.4226,N/A,0.2706,0.5145,0.5696
prompt_GPM053_quality,79.0,3.6056,0.0,152.4039,0.0,21.772,N/A,0.0,78.0006,79.9994
prompt_GPM053_match_rate,42.8255,8.1466,0.0901,36.3683,0.0,5.1955,N/A,0.0,40.5674,45.0836
prompt_GPM053_bleu,0.0222,0.0287,0.0,-116.4735,0.0,-16.6391,N/A,0.0,0.0143,0.0302
prompt_GPM053_rougeL,0.1387,0.0461,0.0005,-54.8881,0.0,-7.8412,N/A,0.0,0.126,0.1515
prompt_GPM093_similarity,0.5189,0.0919,0.4682,1.441,0.1559,0.2059,N/A,0.4634,0.4934,0.5444
prompt_GPM093_quality,79.6,1.9596,0.0,282.5588,0.0,40.3655,N/A,0.0,79.0568,80.1432
prompt_GPM093_match_rate,41.3309,7.5245,0.4925,37.985,0.0,5.4264,N/A,0.0,39.2452,43.4165
prompt_GPM093_bleu,0.0214,0.0373,0.0,-89.906,0.0,-12.8437,N/A,0.0,0.0111,0.0317
prompt_GPM093_rougeL,0.1321,0.0474,0.0,-54.2799,0.0,-7.7543,N/A,0.0,0.119,0.1453
prompt_GPN001_similarity,0.5353,0.0678,0.1839,3.6429,0.0007,0.5204,N/A,0.0001,0.5165,0.5541
prompt_GPN001_quality,66.0,5.6569,0.0,81.0521,0.0,11.5789,N/A,0.0,64.432,67.568
prompt_GPN001_match_rate,35.2706,4.9907,0.6739,48.7691,0.0,6.967,N/A,0.0,33.8872,36.6539
prompt_GPN001_bleu,0.0269,0.0206,0.0014,-160.5556,0.0,-22.9365,N/A,0.0,0.0212,0.0327
prompt_GPN001_rougeL,0.1848,0.0455,0.5582,-48.4561,0.0,-6.9223,N/A,0.0,0.1722,0.1975
prompt_GPN002_similarity,0.5439,0.0825,0.6526,3.7219,0.0005,0.5317,N/A,0.0002,0.521,0.5667
prompt_GPN002_quality,66.8,5.4553,0.0,85.0737,0.0,12.1534,N/A,0.0,65.2879,68.3121
prompt_GPN002_match_rate,36.3239,6.1453,0.6852,40.8061,0.0,5.8294,N/A,0.0,34.6205,38.0273
prompt_GPN002_bleu,0.0315,0.023,0.0007,-142.5005,0.0,-20.3572,N/A,0.0,0.0251,0.0379
prompt_GPN002_rougeL,0.1921,0.0496,0.8273,-43.4578,0.0,-6.2083,N/A,0.0,0.1784,0.2059
prompt_GPN003_similarity,0.5506,0.0679,0.7278,5.2146,0.0,0.7449,N/A,0.0,0.5318,0.5694
prompt_GPN003_quality,66.2,5.2498,0.0,87.604,0.0,12.5149,N/A,0.0,64.7449,67.6551
prompt_GPN003_match_rate,36.3744,4.8297,0.767,51.9947,0.0,7.4278,N/A,0.0,35.0357,37.7131
prompt_GPN003_bleu,0.0264,0.0185,0.0106,-179.6342,0.0,-25.662,N/A,0.0,0.0213,0.0315
prompt_GPN003_rougeL,0.1884,0.0484,0.5889,-45.0656,0.0,-6.4379,N/A,0.0,0.175,0.2018
